frame_number,object_id,shape,center_x,center_y
69,2,Rectangle,660,230
69,3,Triangle,276,365
69,4,Circle,720,455
70,1,Circle,280,105
70,2,Rectangle,657,230
70,3,Triangle,279,365
70,4,Circle,718,455
71,1,Circle,283,105
71,2,Rectangle,654,230
71,3,Triangle,282,365
71,4,Circle,715,455
72,1,Circle,285,105
72,2,Rectangle,652,230
72,3,Triangle,284,365
72,4,Circle,713,455
73,1,Circle,288,105
73,2,Rectangle,649,230
73,3,Triangle,287,365
73,4,Circle,711,455
74,1,Circle,291,105
74,2,Rectangle,646,230
74,3,Triangle,289,365
74,4,Circle,709,455
75,1,Circle,294,105
75,2,Rectangle,643,230
75,3,Triangle,292,365
75,4,Circle,707,455
76,1,Circle,297,105
76,2,Rectangle,640,230
76,3,Triangle,295,365
76,4,Circle,704,455
77,1,Circle,300,105
77,2,Rectangle,638,230
77,3,Triangle,297,365
77,4,Circle,702,455
78,1,Circle,303,105
78,2,Rectangle,635,230
78,3,Triangle,300,365
78,4,Circle,700,455
79,1,Circle,306,105
79,2,Rectangle,632,230
79,3,Triangle,302,365
79,4,Circle,698,455
80,1,Circle,309,105
80,2,Rectangle,629,230
80,3,Triangle,305,365
80,4,Circle,696,455
81,1,Circle,312,105
81,2,Rectangle,626,230
81,3,Triangle,308,365
81,4,Circle,693,455
82,1,Circle,314,105
82,2,Rectangle,624,230
82,3,Triangle,310,365
82,4,Circle,691,455
83,1,Circle,317,105
83,2,Rectangle,621,230
83,3,Triangle,313,365
83,4,Circle,689,455
84,1,Circle,320,105
84,2,Rectangle,618,230
84,3,Triangle,315,365
84,4,Circle,687,455
85,1,Circle,323,105
85,2,Rectangle,615,230
85,3,Triangle,318,365
85,4,Circle,685,455
86,1,Circle,326,105
86,2,Rectangle,613,230
86,3,Triangle,321,365
86,4,Circle,682,455
87,1,Circle,329,105
87,2,Rectangle,610,230
87,3,Triangle,323,365
87,4,Circle,680,455
88,1,Circle,332,105
88,2,Rectangle,607,230
88,3,Triangle,326,365
88,4,Circle,678,455
89,1,Circle,335,105
89,2,Rectangle,604,230
89,3,Triangle,328,365
89,4,Circle,676,455
90,1,Circle,338,105
90,2,Rectangle,601,230
90,3,Triangle,331,365
90,4,Circle,674,455
91,1,Circle,341,105
91,2,Rectangle,599,230
91,3,Triangle,334,365
91,4,Circle,671,455
92,1,Circle,343,105
92,2,Rectangle,596,230
92,3,Triangle,336,365
92,4,Circle,669,455
93,1,Circle,346,105
93,2,Rectangle,593,230
93,3,Triangle,339,365
93,4,Circle,667,455
94,1,Circle,349,105
94,2,Rectangle,590,230
94,3,Triangle,341,365
94,4,Circle,665,455
95,1,Circle,352,105
95,2,Rectangle,587,230
95,3,Triangle,344,365
95,4,Circle,663,455
96,1,Circle,355,105
96,2,Rectangle,584,230
96,3,Triangle,347,365
96,4,Circle,660,455
97,1,Circle,358,105
97,2,Rectangle,582,230
97,3,Triangle,349,365
97,4,Circle,658,455
98,1,Circle,361,105
98,2,Rectangle,579,230
98,3,Triangle,352,365
98,4,Circle,656,455
99,1,Circle,364,105
99,2,Rectangle,576,230
99,3,Triangle,354,365
99,4,Circle,654,455
100,1,Circle,367,105
100,2,Rectangle,573,230
100,3,Triangle,357,365
100,4,Circle,652,455
101,1,Circle,370,105
101,2,Rectangle,570,230
101,3,Triangle,360,365
101,4,Circle,649,455
102,1,Circle,372,105
102,2,Rectangle,568,230
102,3,Triangle,362,365
102,4,Circle,647,455
103,1,Circle,375,105
103,2,Rectangle,565,230
103,3,Triangle,365,365
103,4,Circle,645,455
104,1,Circle,378,105
104,2,Rectangle,562,230
104,3,Triangle,367,365
104,4,Circle,643,455
105,1,Circle,381,105
105,2,Rectangle,559,230
105,3,Triangle,370,365
105,4,Circle,641,455
106,1,Circle,384,105
106,2,Rectangle,556,230
106,3,Triangle,373,365
106,4,Circle,638,455
107,1,Circle,387,105
107,2,Rectangle,554,230
107,3,Triangle,375,365
107,4,Circle,636,455
108,1,Circle,390,105
108,2,Rectangle,551,230
108,3,Triangle,378,365
108,4,Circle,634,455
109,1,Circle,393,105
109,2,Rectangle,548,230
109,3,Triangle,380,365
109,4,Circle,632,455
110,1,Circle,396,105
110,2,Rectangle,545,230
110,3,Triangle,383,365
110,4,Circle,630,455
111,1,Circle,399,105
111,2,Rectangle,542,230
111,3,Triangle,386,365
111,4,Circle,627,455
112,1,Circle,401,105
112,2,Rectangle,540,230
112,3,Triangle,388,365
112,4,Circle,625,455
113,1,Circle,404,105
113,2,Rectangle,537,230
113,3,Triangle,391,365
113,4,Circle,623,455
114,1,Circle,407,105
114,2,Rectangle,534,230
114,3,Triangle,393,365
114,4,Circle,621,455
115,1,Circle,410,105
115,2,Rectangle,531,230
115,3,Triangle,396,365
115,4,Circle,619,455
116,1,Circle,413,105
116,2,Rectangle,528,230
116,3,Triangle,399,365
116,4,Circle,616,455
117,1,Circle,416,105
117,2,Rectangle,526,230
117,3,Triangle,401,365
117,4,Circle,614,455
118,1,Circle,419,105
118,2,Rectangle,523,230
118,3,Triangle,404,365
118,4,Circle,612,455
119,1,Circle,422,105
119,2,Rectangle,520,230
119,3,Triangle,406,365
119,4,Circle,610,455
120,1,Circle,425,105
120,2,Rectangle,517,230
120,3,Triangle,409,365
120,4,Circle,608,455
121,1,Circle,428,105
121,2,Rectangle,514,230
121,3,Triangle,412,365
121,4,Circle,605,455
122,1,Circle,430,105
122,2,Rectangle,512,230
122,3,Triangle,414,365
122,4,Circle,603,455
123,1,Circle,433,105
123,2,Rectangle,509,230
123,3,Triangle,417,365
123,4,Circle,601,455
124,1,Circle,436,105
124,2,Rectangle,506,230
124,3,Triangle,419,365
124,4,Circle,599,455
125,1,Circle,439,105
125,2,Rectangle,503,230
125,3,Triangle,422,365
125,4,Circle,597,455
126,1,Circle,442,105
126,2,Rectangle,500,230
126,3,Triangle,425,365
126,4,Circle,594,455
127,1,Circle,445,105
127,2,Rectangle,498,230
127,3,Triangle,427,365
127,4,Circle,592,455
128,1,Circle,448,105
128,2,Rectangle,495,230
128,3,Triangle,430,365
128,4,Circle,590,455
129,1,Circle,451,105
129,2,Rectangle,492,230
129,3,Triangle,432,365
129,4,Circle,588,455
130,1,Circle,454,105
130,2,Rectangle,489,230
130,3,Triangle,435,365
130,4,Circle,586,455
131,1,Circle,457,105
131,2,Rectangle,486,230
131,3,Triangle,438,365
131,4,Circle,583,455
132,1,Circle,459,105
132,2,Rectangle,484,230
132,3,Triangle,440,365
132,4,Circle,581,455
133,1,Circle,462,105
133,2,Rectangle,481,230
133,3,Triangle,443,365
133,4,Circle,579,455
134,1,Circle,465,105
134,2,Rectangle,478,230
134,3,Triangle,445,365
134,4,Circle,577,455
135,1,Circle,468,105
135,2,Rectangle,475,230
135,3,Triangle,448,365
135,4,Circle,575,455
136,1,Circle,471,105
136,2,Rectangle,472,230
136,3,Triangle,451,365
136,4,Circle,572,455
137,1,Circle,474,105
137,2,Rectangle,470,230
137,3,Triangle,453,365
137,4,Circle,570,455
138,1,Circle,477,105
138,2,Rectangle,467,230
138,3,Triangle,456,365
138,4,Circle,568,455
139,1,Circle,480,105
139,2,Rectangle,464,230
139,3,Triangle,458,365
139,4,Circle,566,455
140,1,Circle,483,105
140,2,Rectangle,461,230
140,3,Triangle,461,365
140,4,Circle,564,455
141,1,Circle,486,105
141,2,Rectangle,458,230
141,3,Triangle,464,365
141,4,Circle,561,455
142,1,Circle,488,105
142,2,Rectangle,456,230
142,3,Triangle,466,365
142,4,Circle,559,455
143,1,Circle,491,105
143,2,Rectangle,453,230
143,3,Triangle,469,365
143,4,Circle,557,455
144,1,Circle,494,105
144,2,Rectangle,450,230
144,3,Triangle,471,365
144,4,Circle,555,455
145,1,Circle,497,105
145,2,Rectangle,447,230
145,3,Triangle,474,365
145,4,Circle,553,455
146,1,Circle,500,105
146,2,Rectangle,444,230
146,3,Triangle,477,365
146,4,Circle,550,455
147,1,Circle,503,105
147,2,Rectangle,442,230
147,3,Triangle,479,365
147,4,Circle,548,455
148,1,Circle,506,105
148,2,Rectangle,439,230
148,3,Triangle,482,365
148,4,Circle,546,455
149,1,Circle,509,105
149,2,Rectangle,436,230
149,3,Triangle,484,365
149,4,Circle,544,455
150,1,Circle,512,105
150,2,Rectangle,433,230
150,3,Triangle,487,365
150,4,Circle,542,455
151,1,Circle,515,105
151,2,Rectangle,430,230
151,3,Triangle,490,365
151,4,Circle,539,455
152,1,Circle,517,105
152,2,Rectangle,428,230
152,3,Triangle,492,365
152,4,Circle,537,455
153,1,Circle,520,105
153,2,Rectangle,425,230
153,3,Triangle,495,365
153,4,Circle,535,455
154,1,Circle,523,105
154,2,Rectangle,422,230
154,3,Triangle,497,365
154,4,Circle,533,455
155,1,Circle,526,105
155,2,Rectangle,419,230
155,3,Triangle,500,365
155,4,Circle,531,455
156,1,Circle,529,105
156,2,Rectangle,416,230
156,3,Triangle,503,365
156,4,Circle,528,455
157,1,Circle,532,105
157,2,Rectangle,414,230
157,3,Triangle,505,365
157,4,Circle,526,455
158,1,Circle,535,105
158,2,Rectangle,411,230
158,3,Triangle,508,365
158,4,Circle,524,455
159,1,Circle,538,105
159,2,Rectangle,408,230
159,3,Triangle,510,365
159,4,Circle,522,455
160,1,Circle,541,105
160,2,Rectangle,405,230
160,3,Triangle,513,365
160,4,Circle,520,455
161,1,Circle,544,105
161,2,Rectangle,402,230
161,3,Triangle,516,365
161,4,Circle,517,455
162,1,Circle,546,105
162,2,Rectangle,400,230
162,3,Triangle,518,365
162,4,Circle,515,455
163,1,Circle,549,105
163,2,Rectangle,397,230
163,3,Triangle,521,365
163,4,Circle,513,455
164,1,Circle,552,105
164,2,Rectangle,394,230
164,3,Triangle,523,365
164,4,Circle,511,455
165,1,Circle,555,105
165,2,Rectangle,391,230
165,3,Triangle,526,365
165,4,Circle,509,455
166,1,Circle,558,105
166,2,Rectangle,389,230
166,3,Triangle,529,365
166,4,Circle,506,455
167,1,Circle,561,105
167,2,Rectangle,386,230
167,3,Triangle,531,365
167,4,Circle,504,455
168,1,Circle,564,105
168,2,Rectangle,383,230
168,3,Triangle,534,365
168,4,Circle,502,455
169,1,Circle,567,105
169,2,Rectangle,380,230
169,3,Triangle,536,365
169,4,Circle,500,455
170,1,Circle,570,105
170,2,Rectangle,377,230
170,3,Triangle,539,365
170,4,Circle,498,455
171,1,Circle,573,105
171,2,Rectangle,375,230
171,3,Triangle,542,365
171,4,Circle,495,455
172,1,Circle,575,105
172,2,Rectangle,372,230
172,3,Triangle,544,365
172,4,Circle,493,455
173,1,Circle,578,105
173,2,Rectangle,369,230
173,3,Triangle,547,365
173,4,Circle,491,455
174,1,Circle,581,105
174,2,Rectangle,366,230
174,3,Triangle,549,365
174,4,Circle,489,455
175,1,Circle,584,105
175,2,Rectangle,363,230
175,3,Triangle,552,365
175,4,Circle,487,455
176,1,Circle,587,105
176,2,Rectangle,361,230
176,3,Triangle,555,365
176,4,Circle,484,455
177,1,Circle,590,105
177,2,Rectangle,358,230
177,3,Triangle,557,365
177,4,Circle,482,455
178,1,Circle,593,105
178,2,Rectangle,355,230
178,3,Triangle,560,365
178,4,Circle,480,455
179,1,Circle,596,105
179,2,Rectangle,352,230
179,3,Triangle,562,365
179,4,Circle,478,455
180,1,Circle,599,105
180,2,Rectangle,349,230
180,3,Triangle,565,365
180,4,Circle,476,455
181,1,Circle,602,105
181,2,Rectangle,347,230
181,3,Triangle,568,365
181,4,Circle,473,455
182,1,Circle,604,105
182,2,Rectangle,344,230
182,3,Triangle,570,365
182,4,Circle,471,455
183,1,Circle,607,105
183,2,Rectangle,341,230
183,3,Triangle,573,365
183,4,Circle,469,455
184,1,Circle,610,105
184,2,Rectangle,338,230
184,3,Triangle,575,365
184,4,Circle,467,455
185,1,Circle,613,105
185,2,Rectangle,335,230
185,3,Triangle,578,365
185,4,Circle,465,455
186,1,Circle,616,105
186,2,Rectangle,332,230
186,3,Triangle,581,365
186,4,Circle,462,455
187,1,Circle,619,105
187,2,Rectangle,330,230
187,3,Triangle,583,365
187,4,Circle,460,455
188,1,Circle,622,105
188,2,Rectangle,327,230
188,3,Triangle,586,365
188,4,Circle,458,455
189,1,Circle,625,105
189,2,Rectangle,324,230
189,3,Triangle,588,365
189,4,Circle,456,455
190,1,Circle,628,105
190,2,Rectangle,321,230
190,3,Triangle,591,365
190,4,Circle,454,455
191,1,Circle,631,105
191,2,Rectangle,318,230
191,3,Triangle,594,365
192,1,Circle,633,105
192,2,Rectangle,316,230
192,3,Triangle,596,365
193,1,Circle,636,105
193,2,Rectangle,313,230
193,3,Triangle,599,365
194,1,Circle,639,105
194,2,Rectangle,310,230
194,3,Triangle,601,365
195,1,Circle,642,105
195,2,Rectangle,307,230
195,3,Triangle,604,365
196,1,Circle,645,105
196,2,Rectangle,304,230
196,3,Triangle,607,365
197,1,Circle,648,105
197,2,Rectangle,302,230
197,3,Triangle,609,365
198,1,Circle,651,105
198,2,Rectangle,299,230
198,3,Triangle,612,365
199,1,Circle,654,105
199,2,Rectangle,296,230
199,3,Triangle,614,365
200,1,Circle,657,105
200,2,Rectangle,293,230
200,3,Triangle,617,365
201,1,Circle,660,105
201,2,Rectangle,290,230
201,3,Triangle,620,365
202,1,Circle,662,105
202,2,Rectangle,288,230
202,3,Triangle,622,365
203,1,Circle,665,105
203,2,Rectangle,285,230
203,3,Triangle,625,365
204,1,Circle,668,105
204,2,Rectangle,282,230
204,3,Triangle,627,365
205,1,Circle,671,105
205,2,Rectangle,279,230
205,3,Triangle,630,365
206,1,Circle,674,105
206,2,Rectangle,276,230
206,3,Triangle,633,365
207,1,Circle,677,105
207,2,Rectangle,274,230
207,3,Triangle,635,365
208,1,Circle,680,105
208,2,Rectangle,271,230
208,3,Triangle,638,365
209,1,Circle,683,105
209,2,Rectangle,268,230
209,3,Triangle,640,365
210,1,Circle,686,105
210,2,Rectangle,265,230
210,3,Triangle,643,365
211,1,Circle,689,105
211,2,Rectangle,262,230
211,3,Triangle,646,365
212,1,Circle,691,105
212,2,Rectangle,260,230
212,3,Triangle,648,365
213,1,Circle,694,105
213,2,Rectangle,257,230
213,3,Triangle,651,365
214,1,Circle,697,105
214,2,Rectangle,254,230
214,3,Triangle,653,365
215,1,Circle,700,105
215,2,Rectangle,251,230
215,3,Triangle,656,365
216,1,Circle,703,105
216,2,Rectangle,248,230
216,3,Triangle,659,365
217,1,Circle,706,105
217,2,Rectangle,246,230
217,3,Triangle,661,365
218,1,Circle,709,105
218,2,Rectangle,243,230
218,3,Triangle,664,365
219,1,Circle,712,105
219,2,Rectangle,240,230
219,3,Triangle,666,365
220,1,Circle,715,105
220,2,Rectangle,237,230
220,3,Triangle,669,365
221,1,Circle,718,105
221,2,Rectangle,234,230
221,3,Triangle,672,365
222,1,Circle,720,105
222,2,Rectangle,232,230
222,3,Triangle,674,365
223,1,Circle,723,105
223,2,Rectangle,229,230
223,3,Triangle,677,365
224,1,Circle,726,105
224,2,Rectangle,226,230
224,3,Triangle,679,365
225,1,Circle,729,105
225,2,Rectangle,223,230
225,3,Triangle,682,365
226,1,Circle,732,105
226,2,Rectangle,220,230
226,3,Triangle,685,365
227,1,Circle,735,105
227,2,Rectangle,218,230
227,3,Triangle,687,365
228,1,Circle,738,105
228,2,Rectangle,215,230
228,3,Triangle,690,365
229,1,Circle,741,105
229,2,Rectangle,212,230
229,3,Triangle,692,365
230,1,Circle,744,105
230,2,Rectangle,209,230
230,3,Triangle,695,365
231,1,Circle,747,105
231,2,Rectangle,206,230
231,3,Triangle,698,365
232,1,Circle,749,105
232,2,Rectangle,204,230
232,3,Triangle,700,365
233,1,Circle,752,105
233,2,Rectangle,201,230
233,3,Triangle,703,365
234,1,Circle,755,105
234,2,Rectangle,198,230
234,3,Triangle,705,365
235,1,Circle,758,105
235,2,Rectangle,195,230
235,3,Triangle,708,365
236,1,Circle,761,105
236,2,Rectangle,192,230
236,3,Triangle,711,365
237,1,Circle,764,105
237,2,Rectangle,190,230
237,3,Triangle,713,365
238,1,Circle,767,105
238,2,Rectangle,187,230
238,3,Triangle,716,365
239,1,Circle,770,105
239,2,Rectangle,184,230
239,3,Triangle,718,365
240,1,Circle,773,105
240,2,Rectangle,181,230
240,3,Triangle,721,365
