frame_number,track_id,label,center_x,center_y,bbox
36,2,Rectangle,752,230,"[720, 207, 65, 47]"
36,3,Circle,181,105,"[153, 77, 57, 57]"
37,1,Triangle,192,364,"[159, 330, 69, 54]"
37,2,Rectangle,750,230,"[718, 207, 65, 47]"
37,3,Circle,184,105,"[156, 77, 57, 57]"
38,1,Triangle,195,364,"[162, 330, 69, 54]"
38,2,Rectangle,747,230,"[715, 207, 65, 47]"
38,3,Circle,187,105,"[159, 77, 57, 57]"
39,1,Triangle,197,364,"[164, 330, 69, 54]"
39,2,Rectangle,744,230,"[712, 207, 65, 47]"
39,3,Circle,190,105,"[162, 77, 57, 57]"
40,1,Triangle,200,364,"[167, 330, 69, 54]"
40,2,Rectangle,741,230,"[709, 207, 65, 47]"
40,3,Circle,193,105,"[165, 77, 57, 57]"
41,1,Triangle,203,364,"[170, 330, 69, 54]"
41,2,Rectangle,738,230,"[706, 207, 65, 47]"
41,3,Circle,196,105,"[168, 77, 57, 57]"
42,1,Triangle,205,364,"[172, 330, 69, 54]"
42,2,Rectangle,736,230,"[704, 207, 65, 47]"
42,3,Circle,198,105,"[170, 77, 57, 57]"
43,1,Triangle,208,364,"[175, 330, 69, 54]"
43,2,Rectangle,733,230,"[701, 207, 65, 47]"
43,3,Circle,201,105,"[173, 77, 57, 57]"
44,1,Triangle,210,364,"[177, 330, 69, 54]"
44,2,Rectangle,730,230,"[698, 207, 65, 47]"
44,3,Circle,204,105,"[176, 77, 57, 57]"
45,1,Triangle,213,364,"[180, 330, 69, 54]"
45,2,Rectangle,727,230,"[695, 207, 65, 47]"
45,3,Circle,207,105,"[179, 77, 57, 57]"
46,4,Circle,770,455,"[752, 437, 37, 37]"
46,1,Triangle,216,364,"[183, 330, 69, 54]"
46,2,Rectangle,725,230,"[693, 207, 65, 47]"
46,3,Circle,210,105,"[182, 77, 57, 57]"
47,4,Circle,768,455,"[750, 437, 37, 37]"
47,1,Triangle,218,364,"[185, 330, 69, 54]"
47,2,Rectangle,722,230,"[690, 207, 65, 47]"
47,3,Circle,213,105,"[185, 77, 57, 57]"
48,4,Circle,766,455,"[748, 437, 37, 37]"
48,1,Triangle,221,364,"[188, 330, 69, 54]"
48,2,Rectangle,719,230,"[687, 207, 65, 47]"
48,3,Circle,216,105,"[188, 77, 57, 57]"
49,4,Circle,764,455,"[746, 437, 37, 37]"
49,1,Triangle,223,364,"[190, 330, 69, 54]"
49,2,Rectangle,716,230,"[684, 207, 65, 47]"
49,3,Circle,219,105,"[191, 77, 57, 57]"
50,4,Circle,762,455,"[744, 437, 37, 37]"
50,1,Triangle,226,364,"[193, 330, 69, 54]"
50,2,Rectangle,713,230,"[681, 207, 65, 47]"
50,3,Circle,222,105,"[194, 77, 57, 57]"
51,4,Circle,759,455,"[741, 437, 37, 37]"
51,1,Triangle,229,364,"[195, 330, 70, 54]"
51,2,Rectangle,710,230,"[678, 207, 65, 47]"
51,3,Circle,225,105,"[197, 77, 57, 57]"
52,4,Circle,757,455,"[739, 437, 37, 37]"
52,1,Triangle,231,364,"[198, 330, 69, 54]"
52,2,Rectangle,708,230,"[676, 207, 65, 47]"
52,3,Circle,227,105,"[199, 77, 57, 57]"
53,4,Circle,755,455,"[737, 437, 37, 37]"
53,1,Triangle,234,364,"[201, 330, 69, 54]"
53,2,Rectangle,705,230,"[673, 207, 65, 47]"
53,3,Circle,230,105,"[202, 77, 57, 57]"
54,4,Circle,753,455,"[735, 437, 37, 37]"
54,1,Triangle,236,364,"[203, 330, 69, 54]"
54,2,Rectangle,702,230,"[670, 207, 65, 47]"
54,3,Circle,233,105,"[205, 77, 57, 57]"
55,4,Circle,751,455,"[733, 437, 37, 37]"
55,1,Triangle,239,364,"[206, 330, 69, 54]"
55,2,Rectangle,699,230,"[667, 207, 65, 47]"
55,3,Circle,236,105,"[208, 77, 57, 57]"
56,4,Circle,748,455,"[730, 437, 37, 37]"
56,1,Triangle,242,364,"[209, 330, 69, 54]"
56,2,Rectangle,696,230,"[664, 207, 65, 47]"
56,3,Circle,239,105,"[211, 77, 57, 57]"
57,4,Circle,746,455,"[728, 437, 37, 37]"
57,1,Triangle,244,364,"[211, 330, 69, 54]"
57,2,Rectangle,694,230,"[662, 207, 65, 47]"
57,3,Circle,242,105,"[214, 77, 57, 57]"
58,4,Circle,744,455,"[726, 437, 37, 37]"
58,1,Triangle,247,364,"[214, 330, 69, 54]"
58,2,Rectangle,690,229,"[658, 207, 66, 47]"
58,3,Circle,245,105,"[217, 77, 57, 57]"
59,4,Circle,742,455,"[724, 437, 37, 37]"
59,1,Triangle,249,364,"[216, 330, 69, 54]"
59,2,Rectangle,688,230,"[656, 207, 65, 47]"
59,3,Circle,248,105,"[220, 77, 57, 57]"
60,4,Circle,740,455,"[722, 437, 37, 37]"
60,1,Triangle,252,364,"[219, 330, 69, 54]"
60,2,Rectangle,685,230,"[653, 207, 65, 47]"
60,3,Circle,251,105,"[223, 77, 57, 57]"
61,4,Circle,737,455,"[719, 437, 37, 37]"
61,1,Triangle,255,364,"[222, 330, 69, 54]"
61,2,Rectangle,682,230,"[650, 207, 65, 47]"
61,3,Circle,254,105,"[226, 77, 57, 57]"
62,4,Circle,735,455,"[717, 437, 37, 37]"
62,1,Triangle,257,364,"[224, 330, 69, 54]"
62,2,Rectangle,680,230,"[648, 207, 65, 47]"
62,3,Circle,256,105,"[228, 77, 57, 57]"
63,4,Circle,733,455,"[715, 437, 37, 37]"
63,1,Triangle,260,364,"[227, 330, 69, 54]"
63,2,Rectangle,677,230,"[645, 207, 65, 47]"
63,3,Circle,259,105,"[231, 77, 57, 57]"
64,4,Circle,731,455,"[713, 437, 37, 37]"
64,1,Triangle,262,364,"[229, 330, 69, 54]"
64,2,Rectangle,674,230,"[642, 207, 65, 47]"
64,3,Circle,262,105,"[234, 77, 57, 57]"
65,4,Circle,729,455,"[711, 437, 37, 37]"
65,1,Triangle,265,364,"[232, 330, 69, 54]"
65,2,Rectangle,671,230,"[639, 207, 65, 47]"
65,3,Circle,265,105,"[237, 77, 57, 57]"
66,4,Circle,726,455,"[708, 437, 37, 37]"
66,1,Triangle,268,364,"[235, 330, 69, 54]"
66,2,Rectangle,668,230,"[636, 207, 66, 47]"
66,3,Circle,268,105,"[240, 77, 57, 57]"
67,4,Circle,724,455,"[706, 437, 37, 37]"
67,1,Triangle,270,364,"[237, 330, 69, 54]"
67,2,Rectangle,666,230,"[634, 207, 65, 47]"
67,3,Circle,271,105,"[243, 77, 57, 57]"
68,4,Circle,722,455,"[704, 437, 37, 37]"
68,1,Triangle,273,364,"[240, 330, 69, 54]"
68,2,Rectangle,663,230,"[631, 207, 65, 47]"
68,3,Circle,274,105,"[246, 77, 57, 57]"
69,4,Circle,720,455,"[702, 437, 37, 37]"
69,1,Triangle,275,364,"[242, 330, 69, 54]"
69,2,Rectangle,660,230,"[628, 207, 65, 47]"
69,3,Circle,277,105,"[249, 77, 57, 57]"
70,4,Circle,718,455,"[700, 437, 37, 37]"
70,1,Triangle,278,364,"[245, 330, 69, 54]"
70,2,Rectangle,657,230,"[625, 207, 65, 47]"
70,3,Circle,280,105,"[252, 77, 57, 57]"
71,4,Circle,715,455,"[697, 437, 37, 37]"
71,1,Triangle,281,364,"[248, 330, 69, 54]"
71,2,Rectangle,654,230,"[622, 207, 65, 47]"
71,3,Circle,283,105,"[255, 77, 57, 57]"
72,4,Circle,713,455,"[695, 437, 37, 37]"
72,1,Triangle,283,364,"[250, 330, 69, 54]"
72,2,Rectangle,652,230,"[620, 207, 65, 47]"
72,3,Circle,285,105,"[257, 77, 57, 57]"
73,4,Circle,711,455,"[693, 437, 37, 37]"
73,1,Triangle,286,364,"[253, 330, 69, 54]"
73,2,Rectangle,649,230,"[617, 207, 65, 47]"
73,3,Circle,288,105,"[260, 77, 57, 57]"
74,4,Circle,709,455,"[691, 437, 37, 37]"
74,1,Triangle,288,364,"[255, 330, 69, 54]"
74,2,Rectangle,646,230,"[614, 207, 65, 47]"
74,3,Circle,291,105,"[263, 77, 57, 57]"
75,4,Circle,707,455,"[689, 437, 37, 37]"
75,1,Triangle,291,364,"[258, 330, 69, 54]"
75,2,Rectangle,643,230,"[611, 207, 65, 47]"
75,3,Circle,294,105,"[266, 77, 57, 57]"
76,4,Circle,704,455,"[686, 437, 37, 37]"
76,1,Triangle,294,364,"[261, 330, 69, 54]"
76,2,Rectangle,640,230,"[608, 207, 65, 47]"
76,3,Circle,297,105,"[269, 77, 57, 57]"
77,4,Circle,702,455,"[684, 437, 37, 37]"
77,1,Triangle,296,364,"[263, 330, 69, 54]"
77,2,Rectangle,638,230,"[606, 207, 65, 47]"
77,3,Circle,300,105,"[272, 77, 57, 57]"
78,4,Circle,700,455,"[682, 437, 37, 37]"
78,1,Triangle,299,364,"[266, 330, 69, 54]"
78,2,Rectangle,635,230,"[603, 207, 65, 47]"
78,3,Circle,303,105,"[275, 77, 57, 57]"
79,4,Circle,698,455,"[680, 437, 37, 37]"
79,1,Triangle,301,364,"[268, 330, 69, 54]"
79,2,Rectangle,632,230,"[600, 207, 65, 47]"
79,3,Circle,306,105,"[278, 77, 57, 57]"
80,4,Circle,696,455,"[678, 437, 37, 37]"
80,1,Triangle,304,364,"[271, 330, 69, 54]"
80,2,Rectangle,629,230,"[597, 207, 65, 47]"
80,3,Circle,309,105,"[281, 77, 57, 57]"
81,4,Circle,693,455,"[675, 437, 37, 37]"
81,1,Triangle,307,364,"[274, 330, 69, 54]"
81,2,Rectangle,626,230,"[594, 207, 65, 47]"
81,3,Circle,312,105,"[284, 77, 57, 57]"
82,4,Circle,691,455,"[673, 437, 37, 37]"
82,1,Triangle,309,364,"[276, 330, 69, 54]"
82,2,Rectangle,624,230,"[592, 207, 65, 47]"
82,3,Circle,314,105,"[286, 77, 57, 57]"
83,4,Circle,689,455,"[671, 437, 37, 37]"
83,1,Triangle,312,364,"[279, 330, 69, 54]"
83,2,Rectangle,621,230,"[589, 207, 65, 47]"
83,3,Circle,317,105,"[289, 77, 57, 57]"
84,4,Circle,687,455,"[669, 437, 37, 37]"
84,1,Triangle,314,364,"[281, 330, 69, 54]"
84,2,Rectangle,618,230,"[586, 207, 65, 47]"
84,3,Circle,320,105,"[292, 77, 57, 57]"
85,4,Circle,685,455,"[667, 437, 37, 37]"
85,1,Triangle,317,364,"[284, 330, 69, 54]"
85,2,Rectangle,615,230,"[583, 207, 65, 47]"
85,3,Circle,323,105,"[295, 77, 57, 57]"
86,4,Circle,682,455,"[664, 437, 37, 37]"
86,1,Triangle,320,364,"[287, 330, 69, 54]"
86,2,Rectangle,613,230,"[581, 207, 65, 47]"
86,3,Circle,326,105,"[298, 77, 57, 57]"
87,4,Circle,680,455,"[662, 437, 37, 37]"
87,1,Triangle,322,364,"[289, 330, 69, 54]"
87,2,Rectangle,610,230,"[578, 207, 65, 47]"
87,3,Circle,329,105,"[301, 77, 57, 57]"
88,4,Circle,678,455,"[660, 437, 37, 37]"
88,1,Triangle,325,364,"[292, 330, 69, 54]"
88,2,Rectangle,607,230,"[575, 207, 65, 47]"
88,3,Circle,332,105,"[304, 77, 57, 57]"
89,4,Circle,676,455,"[658, 437, 37, 37]"
89,1,Triangle,327,364,"[294, 330, 69, 54]"
89,2,Rectangle,604,230,"[572, 207, 65, 47]"
89,3,Circle,335,105,"[307, 77, 57, 57]"
90,4,Circle,674,455,"[656, 437, 37, 37]"
90,1,Triangle,330,364,"[297, 330, 69, 54]"
90,2,Rectangle,601,230,"[569, 207, 65, 47]"
90,3,Circle,338,105,"[310, 77, 57, 57]"
91,4,Circle,671,455,"[653, 437, 37, 37]"
91,1,Triangle,333,364,"[300, 330, 69, 54]"
91,2,Rectangle,599,230,"[567, 207, 65, 47]"
91,3,Circle,341,105,"[313, 77, 57, 57]"
92,4,Circle,669,455,"[651, 437, 37, 37]"
92,1,Triangle,335,364,"[302, 330, 69, 54]"
92,2,Rectangle,596,230,"[564, 207, 65, 47]"
92,3,Circle,343,105,"[315, 77, 57, 57]"
93,4,Circle,667,455,"[649, 437, 37, 37]"
93,1,Triangle,338,364,"[305, 330, 69, 54]"
93,2,Rectangle,593,230,"[561, 207, 65, 47]"
93,3,Circle,346,105,"[318, 77, 57, 57]"
94,4,Circle,665,455,"[647, 437, 37, 37]"
94,1,Triangle,340,364,"[307, 330, 69, 54]"
94,2,Rectangle,590,230,"[558, 207, 65, 47]"
94,3,Circle,349,105,"[321, 77, 57, 57]"
95,4,Circle,663,455,"[645, 437, 37, 37]"
95,1,Triangle,343,364,"[310, 330, 69, 54]"
95,2,Rectangle,587,230,"[555, 207, 65, 47]"
95,3,Circle,352,105,"[324, 77, 57, 57]"
96,4,Circle,660,455,"[642, 437, 37, 37]"
96,1,Triangle,346,364,"[313, 330, 69, 54]"
96,2,Rectangle,584,230,"[552, 207, 65, 47]"
96,3,Circle,355,105,"[327, 77, 57, 57]"
97,4,Circle,658,455,"[640, 437, 37, 37]"
97,1,Triangle,348,364,"[315, 330, 69, 54]"
97,2,Rectangle,582,230,"[550, 207, 65, 47]"
97,3,Circle,358,105,"[330, 77, 57, 57]"
98,4,Circle,656,455,"[638, 437, 37, 37]"
98,1,Triangle,351,364,"[318, 330, 69, 54]"
98,2,Rectangle,578,230,"[546, 207, 66, 47]"
98,3,Circle,361,105,"[333, 77, 57, 57]"
99,4,Circle,654,455,"[636, 437, 37, 37]"
99,1,Triangle,353,364,"[320, 330, 69, 54]"
99,2,Rectangle,576,230,"[544, 207, 65, 47]"
99,3,Circle,364,105,"[336, 77, 57, 57]"
100,4,Circle,652,455,"[634, 437, 37, 37]"
100,1,Triangle,356,364,"[323, 330, 69, 54]"
100,2,Rectangle,573,230,"[541, 207, 65, 47]"
100,3,Circle,367,105,"[339, 77, 57, 57]"
101,4,Circle,649,455,"[631, 437, 37, 37]"
101,1,Triangle,359,364,"[326, 330, 69, 54]"
101,2,Rectangle,570,230,"[538, 207, 65, 47]"
101,3,Circle,370,105,"[342, 77, 57, 57]"
102,4,Circle,647,455,"[629, 437, 37, 37]"
102,1,Triangle,361,364,"[328, 330, 69, 54]"
102,2,Rectangle,568,230,"[536, 207, 65, 47]"
102,3,Circle,372,105,"[344, 77, 57, 57]"
103,4,Circle,645,455,"[627, 437, 37, 37]"
103,1,Triangle,364,364,"[331, 330, 69, 54]"
103,2,Rectangle,565,230,"[533, 207, 65, 47]"
103,3,Circle,375,105,"[347, 77, 57, 57]"
104,4,Circle,643,455,"[625, 437, 37, 37]"
104,1,Triangle,366,364,"[333, 330, 69, 54]"
104,2,Rectangle,562,230,"[530, 207, 65, 47]"
104,3,Circle,378,105,"[350, 77, 57, 57]"
105,4,Circle,641,455,"[623, 437, 37, 37]"
105,1,Triangle,369,364,"[336, 330, 69, 54]"
105,2,Rectangle,559,230,"[527, 207, 65, 47]"
105,3,Circle,381,105,"[353, 77, 57, 57]"
106,4,Circle,638,455,"[620, 437, 37, 37]"
106,1,Triangle,372,364,"[339, 330, 69, 54]"
106,2,Rectangle,556,230,"[524, 207, 65, 47]"
106,3,Circle,384,105,"[356, 77, 57, 57]"
107,4,Circle,636,455,"[618, 437, 37, 37]"
107,1,Triangle,374,364,"[341, 330, 69, 54]"
107,2,Rectangle,554,230,"[522, 207, 65, 47]"
107,3,Circle,387,105,"[359, 77, 57, 57]"
108,4,Circle,634,455,"[616, 437, 37, 37]"
108,1,Triangle,377,364,"[344, 330, 69, 54]"
108,2,Rectangle,551,230,"[519, 207, 65, 47]"
108,3,Circle,390,105,"[362, 77, 57, 57]"
109,4,Circle,632,455,"[614, 437, 37, 37]"
109,1,Triangle,379,364,"[346, 330, 69, 54]"
109,2,Rectangle,548,230,"[516, 207, 65, 47]"
109,3,Circle,393,105,"[365, 77, 57, 57]"
110,4,Circle,630,455,"[612, 437, 37, 37]"
110,1,Triangle,382,364,"[349, 330, 69, 54]"
110,2,Rectangle,545,230,"[513, 207, 65, 47]"
110,3,Circle,396,105,"[368, 77, 57, 57]"
111,4,Circle,627,455,"[609, 437, 37, 37]"
111,1,Triangle,385,364,"[352, 330, 69, 54]"
111,2,Rectangle,542,230,"[510, 207, 65, 47]"
111,3,Circle,399,105,"[371, 77, 57, 57]"
112,4,Circle,625,455,"[607, 437, 37, 37]"
112,1,Triangle,387,364,"[354, 330, 69, 54]"
112,2,Rectangle,540,230,"[508, 207, 65, 47]"
112,3,Circle,401,105,"[373, 77, 57, 57]"
113,4,Circle,623,455,"[605, 437, 37, 37]"
113,1,Triangle,390,364,"[357, 330, 69, 54]"
113,2,Rectangle,537,230,"[505, 207, 65, 47]"
113,3,Circle,404,105,"[376, 77, 57, 57]"
114,4,Circle,621,455,"[603, 437, 37, 37]"
114,1,Triangle,392,364,"[359, 330, 69, 54]"
114,2,Rectangle,534,230,"[502, 207, 65, 47]"
114,3,Circle,407,105,"[379, 77, 57, 57]"
115,4,Circle,619,455,"[601, 437, 37, 37]"
115,1,Triangle,395,364,"[362, 330, 69, 54]"
115,2,Rectangle,531,230,"[499, 207, 65, 47]"
115,3,Circle,410,105,"[382, 77, 57, 57]"
116,4,Circle,616,455,"[598, 437, 37, 37]"
116,1,Triangle,398,364,"[365, 330, 69, 54]"
116,2,Rectangle,528,230,"[496, 207, 65, 47]"
116,3,Circle,413,105,"[385, 77, 57, 57]"
117,4,Circle,614,455,"[596, 437, 37, 37]"
117,1,Triangle,400,364,"[367, 330, 69, 54]"
117,2,Rectangle,526,230,"[494, 207, 65, 47]"
117,3,Circle,416,105,"[388, 77, 57, 57]"
118,4,Circle,612,455,"[594, 437, 37, 37]"
118,1,Triangle,403,364,"[370, 330, 69, 54]"
118,2,Rectangle,523,230,"[491, 207, 65, 47]"
118,3,Circle,419,105,"[391, 77, 57, 57]"
119,4,Circle,610,455,"[592, 437, 37, 37]"
119,1,Triangle,405,364,"[372, 330, 69, 54]"
119,2,Rectangle,520,230,"[488, 207, 65, 47]"
119,3,Circle,422,105,"[394, 77, 57, 57]"
120,4,Circle,608,455,"[590, 437, 37, 37]"
120,1,Triangle,408,364,"[375, 330, 69, 54]"
120,2,Rectangle,517,230,"[485, 207, 65, 47]"
120,3,Circle,425,105,"[397, 77, 57, 57]"
121,4,Circle,605,455,"[587, 437, 37, 37]"
121,1,Triangle,411,364,"[378, 330, 69, 54]"
121,2,Rectangle,514,230,"[482, 207, 65, 47]"
121,3,Circle,428,105,"[400, 77, 57, 57]"
122,4,Circle,603,455,"[585, 437, 37, 37]"
122,1,Triangle,413,364,"[380, 330, 69, 54]"
122,2,Rectangle,512,230,"[480, 207, 65, 47]"
122,3,Circle,430,105,"[402, 77, 57, 57]"
123,4,Circle,601,455,"[583, 437, 37, 37]"
123,1,Triangle,416,364,"[383, 330, 69, 54]"
123,2,Rectangle,509,230,"[477, 207, 65, 47]"
123,3,Circle,433,105,"[405, 77, 57, 57]"
124,4,Circle,599,455,"[581, 437, 37, 37]"
124,1,Triangle,418,364,"[385, 330, 69, 54]"
124,2,Rectangle,506,230,"[474, 207, 65, 47]"
124,3,Circle,436,105,"[408, 77, 57, 57]"
125,4,Circle,597,455,"[579, 437, 37, 37]"
125,1,Triangle,421,364,"[388, 330, 69, 54]"
125,2,Rectangle,503,230,"[471, 207, 65, 47]"
125,3,Circle,439,105,"[411, 77, 57, 57]"
126,4,Circle,594,455,"[576, 437, 37, 37]"
126,1,Triangle,424,364,"[391, 330, 69, 54]"
126,2,Rectangle,500,230,"[468, 207, 65, 47]"
126,3,Circle,442,105,"[414, 77, 57, 57]"
127,4,Circle,592,455,"[574, 437, 37, 37]"
127,1,Triangle,426,364,"[393, 330, 69, 54]"
127,2,Rectangle,498,230,"[466, 207, 65, 47]"
127,3,Circle,445,105,"[417, 77, 57, 57]"
128,4,Circle,590,455,"[572, 437, 37, 37]"
128,1,Triangle,429,364,"[396, 330, 69, 54]"
128,2,Rectangle,495,230,"[463, 207, 65, 47]"
128,3,Circle,448,105,"[420, 77, 57, 57]"
129,4,Circle,588,455,"[570, 437, 37, 37]"
129,1,Triangle,431,364,"[398, 330, 69, 54]"
129,2,Rectangle,492,230,"[460, 207, 65, 47]"
129,3,Circle,451,105,"[423, 77, 57, 57]"
130,4,Circle,586,455,"[568, 437, 37, 37]"
130,1,Triangle,434,364,"[401, 330, 69, 54]"
130,2,Rectangle,489,230,"[457, 207, 65, 47]"
130,3,Circle,454,105,"[426, 77, 57, 57]"
131,4,Circle,583,455,"[565, 437, 37, 37]"
131,1,Triangle,437,364,"[404, 330, 69, 54]"
131,2,Rectangle,486,230,"[454, 207, 65, 47]"
131,3,Circle,457,105,"[429, 77, 57, 57]"
132,4,Circle,581,455,"[563, 437, 37, 37]"
132,1,Triangle,439,364,"[406, 330, 69, 54]"
132,2,Rectangle,484,230,"[452, 207, 65, 47]"
132,3,Circle,459,105,"[431, 77, 57, 57]"
133,4,Circle,579,455,"[561, 437, 37, 37]"
133,1,Triangle,442,364,"[409, 330, 69, 54]"
133,2,Rectangle,481,230,"[449, 207, 65, 47]"
133,3,Circle,462,105,"[434, 77, 57, 57]"
134,4,Circle,577,455,"[559, 437, 37, 37]"
134,1,Triangle,444,364,"[411, 330, 69, 54]"
134,2,Rectangle,478,230,"[446, 207, 65, 47]"
134,3,Circle,465,105,"[437, 77, 57, 57]"
135,4,Circle,575,455,"[557, 437, 37, 37]"
135,1,Triangle,447,364,"[414, 330, 69, 54]"
135,2,Rectangle,475,230,"[443, 207, 65, 47]"
135,3,Circle,468,105,"[440, 77, 57, 57]"
136,4,Circle,572,455,"[554, 437, 37, 37]"
136,1,Triangle,450,364,"[417, 330, 69, 54]"
136,2,Rectangle,472,230,"[440, 207, 65, 47]"
136,3,Circle,471,105,"[443, 77, 57, 57]"
137,4,Circle,570,455,"[552, 437, 37, 37]"
137,1,Triangle,452,364,"[419, 330, 69, 54]"
